,datetimestamp,AphA,Conn,Conn_WinTms,Hz,OutPFSet,OutPFSet_RmpTms,PF,PhVphA,Ris,St,StActCtl,VA,VAMax,VAr,VArMaxPct,VArPct_RmpTms,VRef,W,WH,WMaxLimPct,WMaxLimPct_RmpTms,DCV,DCA,DCW,time,day,hour,min,sec
0,2024-02-22 19:33:33,15.5,1,0,60,10,0,-100,239,655.35,4,0,3710.007,563.25,7,0,0,614.4,3710,82579568,100,0,371.95,10.2,3793.89,2024-02-22 13:33:33-06:00,3,13,33,33
1,2024-02-22 19:33:35,15.71,1,0,60,10,0,-100,239,655.35,4,0,3765.007,563.25,7,0,0,614.4,3765,82579568,100,0,369.1,10.6,3912.46,2024-02-22 13:33:35-06:00,3,13,33,35
2,2024-02-22 19:33:36,16.003,1,0,60,10,0,-100,239.067,655.35,4,0,3831.673,563.25,7,0,0,614.4,3831.667,82579568,100,0,371.75,10.7,3977.725,2024-02-22 13:33:36-06:00,3,13,33,36
3,2024-02-22 19:33:37,16.15,1,0,60,10,0,-100,239.1,655.35,4,0,3865.006,563.25,7,0,0,614.4,3865,82579568,100,0,371.75,10.7,3977.725,2024-02-22 13:33:37-06:00,3,13,33,37
4,2024-02-22 19:33:38,16.15,1,0,60,10,0,-100,239.1,655.35,4,0,3865.006,563.25,7,0,0,614.4,3865,82579568,100,0,369.1,10.63,3923.533,2024-02-22 13:33:38-06:00,3,13,33,38
5,2024-02-22 19:33:39,16.17,1,0,60,10,0,-100,239.2,655.35,4,0,3866.006,563.25,7,0,0,614.4,3866,82579576,100,0,369.1,10.63,3923.533,2024-02-22 13:33:39-06:00,3,13,33,39
6,2024-02-22 19:33:41,15.79,1,0,60,10,0,-100,239.1,655.35,4,0,3764.005,563.25,6,0,0,614.4,3764,82579576,100,0,371.4,10.2,3788.28,2024-02-22 13:33:41-06:00,3,13,33,41
7,2024-02-22 19:33:42,15.555,1,0,60,10,0,-100,239.05,655.35,4,0,3713.006,563.25,6.5,0,0,614.4,3713,82579576,100,0,368.85,10.11,3729.074,2024-02-22 13:33:42-06:00,3,13,33,42
8,2024-02-22 19:33:43,15.32,1,0,60,10,0,-100,239,655.35,4,0,3662.007,563.25,7,0,0,614.4,3662,82579576,100,0,368.85,10.11,3729.074,2024-02-22 13:33:43-06:00,3,13,33,43
9,2024-02-22 19:33:44,15.32,1,0,60,10,0,-100,239,655.35,4,0,3662.007,563.25,7,0,0,614.4,3662,82579576,100,0,371.2,10.06,3734.272,2024-02-22 13:33:44-06:00,3,13,33,44
